정답_라벨,예측_라벨,빈도
 생성형AI엔지니어링,인공지능서비스구현,22
인공지능학습데이터,인공지능플랫폼구축,21
 생성형AI엔지니어링,생성형AI엔지니어링,11
인공지능플랫폼구축,인공지능서비스운영관리,9
인공지능학습데이터,인공지능학습데이터구축,9
 생성형AI엔지니어링,인공지능모델링,8
인공지능서비스운영관리,인공지능플랫폼구축,6
 생성형AI엔지니어링,인공지능플랫폼구축,6
인공지능서비스구현,인공지능플랫폼구축,6
인공지능서비스운영관리,인공지능서비스기획,6
인공지능플랫폼구축,인공지능서비스구현,5
인공지능학습데이터,인공지능모델링,4
인공지능모델링,생성형AI엔지니어링,4
인공지능서비스구현,생성형AI엔지니어링,3
인공지능학습데이터,인공지능서비스구현,3
인공지능서비스운영관리,인공지능서비스구현,3
인공지능모델링,인공지능서비스구현,3
인공지능서비스기획,인공지능서비스구현,2
인공지능서비스구현,인공지능모델링,2
 생성형AI엔지니어링,인공지능서비스기획,2
인공지능학습데이터,인공지능서비스운영관리,2
인공지능서비스운영관리,인공지능모델링,2
인공지능학습데이터,인공지능서비스기획,2
인공지능모델링,인공지능서비스기획,1
인공지능모델링,인공지능서비스운영관리,1
인공지능모델링,인공지능플랫폼구축,1
인공지능모델링,인공지능학습데이터구축,1
인공지능플랫폼구축,인공지능모델링,1
인공지능서비스운영관리,생성형AI엔지니어링,1
인공지능플랫폼구축,생성형AI엔지니어링,1
