True_Label,Predicted_Label,Count,True_Total,Error_Rate
인공지능플랫폼구축,인공지능서비스운영관리,9,37,0.24324324324324326
인공지능서비스구현,인공지능플랫폼구축,6,37,0.16216216216216217
인공지능서비스운영관리,인공지능서비스기획,6,36,0.16666666666666666
인공지능서비스운영관리,인공지능플랫폼구축,6,36,0.16666666666666666
인공지능플랫폼구축,인공지능서비스구현,5,37,0.13513513513513514
인공지능모델링,생성형AI엔지니어링,4,41,0.0975609756097561
인공지능서비스운영관리,인공지능서비스구현,3,36,0.08333333333333333
인공지능서비스구현,생성형AI엔지니어링,3,37,0.08108108108108109
인공지능모델링,인공지능서비스구현,3,41,0.07317073170731707
인공지능서비스구현,인공지능모델링,2,37,0.05405405405405406
인공지능서비스기획,인공지능서비스구현,2,41,0.04878048780487805
인공지능서비스운영관리,인공지능모델링,2,36,0.05555555555555555
인공지능플랫폼구축,인공지능모델링,1,37,0.02702702702702703
인공지능모델링,인공지능학습데이터구축,1,41,0.024390243902439025
인공지능모델링,인공지능서비스기획,1,41,0.024390243902439025
인공지능플랫폼구축,생성형AI엔지니어링,1,37,0.02702702702702703
인공지능모델링,인공지능서비스운영관리,1,41,0.024390243902439025
인공지능모델링,인공지능플랫폼구축,1,41,0.024390243902439025
인공지능서비스운영관리,생성형AI엔지니어링,1,36,0.027777777777777776
