role_a,role_b,cosine_sim
인공지능서비스기획,인공지능서비스구현,0.8484145402908325
인공지능모델링,인공지능서비스구현,0.8451942205429077
인공지능플랫폼구축,인공지능서비스기획,0.8361262679100037
인공지능서비스기획,인공지능서비스운영관리,0.8327677845954895
인공지능모델링,인공지능학습데이터구축,0.818454384803772
인공지능서비스기획,인공지능모델링,0.8154056668281555
인공지능플랫폼구축,인공지능서비스구현,0.807399332523346
인공지능서비스운영관리,인공지능서비스구현,0.7821202278137207
인공지능플랫폼구축,인공지능서비스운영관리,0.7805598974227905
인공지능서비스구현,인공지능학습데이터구축,0.7590535283088684
인공지능플랫폼구축,인공지능모델링,0.7548249959945679
인공지능서비스기획,생성형AI엔지니어링,0.7542343139648438
인공지능모델링,인공지능서비스운영관리,0.7492440938949585
인공지능모델링,생성형AI엔지니어링,0.7450540065765381
인공지능플랫폼구축,인공지능학습데이터구축,0.743768572807312
인공지능서비스기획,인공지능학습데이터구축,0.7416732311248779
인공지능학습데이터구축,생성형AI엔지니어링,0.7321517467498779
인공지능서비스구현,생성형AI엔지니어링,0.7320802211761475
인공지능플랫폼구축,생성형AI엔지니어링,0.7279065847396851
인공지능서비스운영관리,인공지능학습데이터구축,0.7097994089126587
인공지능서비스운영관리,생성형AI엔지니어링,0.6386944055557251
