role,rank,neighbor_role,cosine_sim
생성형AI엔지니어링,1,인공지능서비스기획,0.7542343139648438
생성형AI엔지니어링,2,인공지능모델링,0.7450540065765381
생성형AI엔지니어링,3,인공지능학습데이터구축,0.7321517467498779
인공지능모델링,1,인공지능서비스구현,0.8451942205429077
인공지능모델링,2,인공지능학습데이터구축,0.818454384803772
인공지능모델링,3,인공지능서비스기획,0.8154056668281555
인공지능서비스구현,1,인공지능서비스기획,0.8484145402908325
인공지능서비스구현,2,인공지능모델링,0.8451942205429077
인공지능서비스구현,3,인공지능플랫폼구축,0.807399332523346
인공지능서비스기획,1,인공지능서비스구현,0.8484145402908325
인공지능서비스기획,2,인공지능플랫폼구축,0.8361262679100037
인공지능서비스기획,3,인공지능서비스운영관리,0.8327677845954895
인공지능서비스운영관리,1,인공지능서비스기획,0.8327677845954895
인공지능서비스운영관리,2,인공지능서비스구현,0.7821202278137207
인공지능서비스운영관리,3,인공지능플랫폼구축,0.7805598974227905
인공지능플랫폼구축,1,인공지능서비스기획,0.8361262679100037
인공지능플랫폼구축,2,인공지능서비스구현,0.807399332523346
인공지능플랫폼구축,3,인공지능서비스운영관리,0.7805598974227905
인공지능학습데이터구축,1,인공지능모델링,0.818454384803772
인공지능학습데이터구축,2,인공지능서비스구현,0.7590535283088684
인공지능학습데이터구축,3,인공지능플랫폼구축,0.743768572807312
